,job_title,company,description
144, Oracle Enterprise Architect , K-Tek Resourcing LLC ,4
145, Oracle Enterprise Architect , Shrive Technologies LLC ,4
146, Oracle Enterprise Architect , Sierra Business Solution LLC ,4
147, Oracle Enterprise Architect - 15 Years , Shrive Technologies LLC ,4
148, Oracle Enterprise Architect- Remote / Telecommute , Cynet Systems ,4
149, Oracle Finance Functional Consultant ," Pure Solutions, LLC ",3
150, Oracle PDH Techno Functional Consultant , Apolis ,4
151, OutSystems Architect , Fixity Technologies ,3
152, PCB Designer ," Berean Group International, Inc. ",6
153, PeopleSoft Analyst ," Resourcesoft, Inc. ",3
154, PeopleSoft Developer - W2 - 100% Remote , Saksoft ,4
155, PeopleSoft Financials Configuration/Functional Support (Remote) , Econosoft ,3
156, PeopleSoft HCM Functional Analyst , Quadrant Resource LLC ,3
157, Peoplesoft Financials Configuration Analyst-Contract-100_Remote EST , Scadea Solutions Inc ,3
158, Power BI Developer- Only W2 , HYR Global Source Inc ,4
159, Power Platform Dev , ZEN3 INFOSOLUTIONS AMERICA INC ,3
160, PowerBI Developer - W2 - Remote , Global Force USA ,4
161," Principal Software Engineer, Dash Search and AI - Remote ", Dropbox ,9
162, Program Manager I , Intelliswift Software Inc ,3
163, Progress 4GL developer ," Protech Systems Group, Inc ",1
164, Project Manager - ERP - Full-time - Remote , Dexter Technologies ,3
165, Project Specialist , Vernus Technologies ,3
166, Purview Engineer , Codeforce 360 ,2
167, QA Automation Engineer , Kforce Technology Staffing ,4
168, QA Automation Engineer (Salesforce) , Lucid Technologies ,3
169," QA Tester / Analyst (Cognitive, IVR) ", IMR Soft LLC ,3
170, Quality Review Specialist , Novateur Technologies Inc. ,1
171, REMOTE OPENING FOR ORACLE PRODUCT BUSINESS ANALYST , SVSoftwareServices ,3
172, RPG Architect , Strategic Systems Inc ,1
173, RPG Developer , TalentBridge ,1
174, React JS developer with Next JS , Tetrahed ,3
175, Redshift Lambda , K Anand Corporation ,3
176, Remote Work Job for ForgeRock IAM Engineer , Droisys ,3
177, Remote::::Data Scientist Generative AI , Ivy Tech Solutions Inc ,3
178, Retirement Contribution Analyst , Talent Group ,3
179, Risk Management Analyst , Allwyn Corporation ,3
180, SAP Billing Contracts Consultant (15803) , Baer ,3
181, SAP CPQ Technical , Meraki IT Solutions ,3
182, SAP Commerce Cloud (Hybris) Analyst/Configurator , Ionidea ,3
183, SAP MES/MII Consultant , Rivi Consulting Group ,4
184, SAP PI/PO Administration Consultant- Remote- CH , Empower Professionals ,3
185, SAP PO Administration Consultant , Codeforce 360 ,3
186, SAP PP & VC Hybrid , Tek Inspirations LLC ,3
187, SAP PP with APO , Tek Global ,3
188, SAP S/4 HANA Data Architect , Confidential Company ,3
189, SAP SCM EWM (Contract 2 Hire) , Sierra Business Solution LLC ,3
190, SAP SCM EWM Consultant , Shrive Technologies LLC ,3
191, SAP Signavio Consultant , Rayven IT Solutions ,4
192, SAP Solution Expert , iQGateway ,3
193," SAP Sr. Basis Consultant(Remote position with 10-20% travel to Oakland, CA) "," NSD International, Inc. ",1
194, SQA Analyst - Remote , SoftPath Technologies LLC ,1
195, SQA analyst (REMOTE - Fulltime role) , BlueCross BlueShield of Tennessee Inc. ,1
196, SQL Architect- REMOTE-DOH-PA-REMOTE , Innoza Tech LLC ,4
197, SQL Lead ," IT Trailblazers, LLC ",1
198, SR Supply chain tester ," VST Consulting, Inc ",3
199, Sailpoint Developer- Remote / Telecommute , Cynet Systems ,4
200, Salesforce Admin , Kforce Technology Staffing ,3
201, Salesforce Architect , ITVISION360 Inc ,3
202, Salesforce Delivery Lead , Paramount Technology Partners ,3
203, Salesforce Developer , Revature ,4
204, Salesforce Health Cloud Architect - 100% Remote , Scadea Solutions Inc ,3
206, Salesforce Marketing Cloud Architect , Stott and May Inc. ,4
205, Salesforce Marketing Cloud Architect ," K2 Partnering Solutions, Inc. ",4
208, Salesforce Solution Architect role with my Direct client - only W2 , Unified Tech Group Inc ,3
209, Security Controls Assessors (SCA) , Blu Omega LLC ,3
230, ServiceNow Developer/Architect , Sky Solutions LLC ,4
231, ServiceNow HAM Pro SME , Cloudious LLC ,3
232, ServiceNow HAM Pro SME , Futran Solutions ,3
233, ServiceNow HAM Pro SME , SRI Tech Solutions ,3
234, Software Asset Manager , Hansen Talent Group ,3
235, Software Asset Manager (100% Remote) , SYSTEMTEC ,3
236, Software Engineer II , D.A. Davidson Companies ,4
237, Sr AIX Administrator ," InfoVision, Inc. ",3
238, Sr Data Engineer , Sripen ,4
239, Sr Data Scientist ," InfoVision, Inc. ",3
240, Sr Hadoop Developer (100% Remote) NO C2C , Noblesoft Solutions Inc. ,3
241, Sr MDM Cloud Data Architect , Cquensys ,4
242, Sr People Systems Analyst , Gemini Consulting Services ,3
243, Sr RPG (IBM) Developer , DMS Vision Inc. ,1
244, Sr Scala Technical Lead , ePromptus Inc. ,1
245, Sr Snowflake Consultant/Engineer , Ameri100 ,4
246, Sr Tester- Supply chain & Distribution domain for WMS , Georgia IT ,3
247, Sr WMS Tester- Supply chain & Distribution domain , IDC Technologies ,3
248, Sr. Business Analyst with Financial Modelling and Mortgage exp (100% Remote) , DMS Vision Inc. ,1
249, Sr. Data Architect - CDP (Customer Data Platform) & AWS , Jefferson Frank ,3
250, Sr. Frontend Developer (Angular) , MHK TECH INC ,2
251," Sr. MLOps Engineer- Dallas, TX - Onsite - 13+ years ", Emergere Technologies ,3
252, Sr. Risk Analyst , Ivy Tech Solutions Inc ,6
253, Sr. SQL Server DBA , MHK TECH INC ,5
254, Sr. ServiceNow Architect , Beacon Hill Staffing Group ,3
255, Sr. Software developer , Dfuse Technologies Inc ,4
256, Sr. Web Application UX Designer , Alleare Consulting ,3
257, Staff Infrastructure Software Engineer - Remote , Dropbox ,3
258, Stibo Developer , Trident Consulting Inc. ,3
259, Supplier Quality Engineer ," Pyramid Consulting, Inc. ",3
260, Tableau Developer , Raas Infotek LLC ,4
262, Technical Lead , Phaidon International ,3
263, Test Engineer - Medicaid Enterprise Systems [MES] (Remote) , S2Tech ,3
264, Testing/Quality Assurance Specialist , eSource Technology LLC ,3
265, UX Design Manager , W3Global ,3
266, Validation Lead with Lab Vantage - Remote , Marlabs LLC ,3
267, Vormetric encryption /Data Security Engineer ," EVEREST CONSULTING GROUP, INC ",3
268, W2 :: Project Manager with PMP : 100% REMOTE , SeersolutionsInc ,3
269," W2 position :: Oracle Shop Floor Management (OSFM) Implementation Consultant at Seattle, WA (Remote) "," Bitsoft International, Inc. ",3
270, Workday HRMS Test Lead ," Valiantica, Inc ",3
271," Workday Techno Functional Consultant - experience in Payroll, Core HCM, Compensation ", Sierra Business Solution LLC ,3
272, Workday Techno Functional Consultant- Remote / Telecommute , Cynet Systems ,3
273, Workday techno functional Consultant , Cygnus Professionals ,4
274, Xactly Consultant , Infometry Inc. ,3
